brand,model,size_label,weight_g,pickup_rating,sweet_spot,profile,handle_shape,handle_length,bow,notes,image_url
GM,Mana DXM 909,Senior,1195,7.2,mid_low,power,oval,standard,medium,Power lean with control,
GM,Mana DXM 808,Senior,1180,7.5,mid_low,balanced,oval,standard,medium,Better pick-up; all-round,
GM,Sparq DXM L.E.,SH,1170,8.0,mid,balanced,oval,standard,medium,Light/fast; good for synthetic,
Kookaburra,Kahuna Pro 1.0,SH,1185,7.2,mid_high,full_profile,round,standard,medium,Mid-high spine; strong carry,
Kookaburra,Kahuna Pro 3.0,SH,1170,7.8,mid,balanced,round,standard,medium,All-round Kahuna; easier pick-up,
Kookaburra,Kahuna Pro 3.0 Junior,Junior,1030,8.8,mid,balanced,round,standard,medium,Junior Kahuna; light pick-up,
Kookaburra,Ghost Pro Players,SH,1200,6.8,low,power,round,standard,high,Big bow + edges; power hitting,
Kookaburra,Ghost Pro Players Junior,Junior,1040,8.6,low,power,round,standard,high,Junior Ghost; power profile,
Kookaburra,Stealth Pro (Long Handle),LH,1175,7.6,low,short_blade_long_handle,round,long,high,Long handle/short blade; leverage,
Kookaburra,Monarch Pro Players,SH,1190,7.0,mid,balanced,round,standard,medium,Traditional all-round; control,
Kookaburra,Monarch Pro 3.0 Supalite,Supalite,1145,8.4,mid,balanced,round,standard,medium,Lighter build; fast hands,
Kookaburra,Prism Pro 2.0,SH,1170,7.9,mid,balanced,round,standard,medium,All-round; quick pick-up,
Kookaburra,Prism Pro 3.0 Supalite,Supalite,1140,8.6,mid,balanced,round,standard,medium,Supalite; very easy pick-up,
Kookaburra,Prism Pro 4.0,SH,1155,8.3,mid,balanced,round,standard,medium,More forgiving; lighter spec,
DSC,Spliit Pro,SH,1195,7.0,mid_low,power,oval,standard,medium,Aggressive profile; power + punch,
DSC,Spliit 77,SH,1185,7.2,mid_low,power,oval,standard,medium,Powerful but manageable pick-up,
DSC,Flip Pro,SH,1180,7.4,mid,power,oval,standard,medium,Big edges; strong hitting; mid sweet spot,
DSC,Pearla Pro,SH,1150,8.4,mid,balanced,oval,standard,medium,Elongated sweet spot; balance/timing,
DSC,Krunch Pro,SH,1205,6.6,low,toe_heavy,oval,standard,medium,Heavier power feel; lower middle,
DSC,Krunch 500,SH,1180,7.3,low,power,oval,standard,medium,Power leaning; better pick-up than Pro,
DSC,Krunch 200,SH,1160,7.8,mid_low,balanced,oval,standard,medium,All-round; easier pick-up,
DSC,Krunch 100,SH,1145,8.2,mid,balanced,oval,standard,medium,Entry; fast hands,
Gray-Nicolls,Fusion Players Edition,SH,1180,7.6,mid,balanced,oval,standard,medium,Pro spec; all-round profile,
Gray-Nicolls,Nova 3.0 Players Edition,SH,1170,7.9,mid,balanced,oval,standard,medium,Fast pick-up; stroke play,
Gray-Nicolls,Spectre Players Edition,SH,1190,7.2,mid_low,power,oval,standard,high,Power leaning; big bow,
Gray-Nicolls,Blitz Players Edition,SH,1200,6.8,low,toe_heavy,oval,standard,high,Explosive power; can feel heavier,
Gray-Nicolls,Arctos Players Edition,SH,1185,7.4,mid,balanced,oval,standard,medium,All-round; solid pick-up,
Gray-Nicolls,Legend,SH,1180,7.5,mid,balanced,oval,standard,medium,Classic all-round feel,
Gray-Nicolls,Ultimate,SH,1165,8.1,mid,balanced,oval,standard,medium,Light pick-up; control focus,
Gray-Nicolls,TH123 Replica,SH,1170,7.8,mid,balanced,oval,standard,medium,Replica profile; good pick-up,
SS TON,TON Players Edition,SH,1190,7.1,mid_low,power,oval,standard,medium,Power leaning; strong punch,
SS TON,TON Classic,SH,1175,7.6,mid,balanced,oval,standard,medium,All-round; timing/control,
SS,SS Vintage,SH,1180,7.4,mid_low,balanced,oval,standard,medium,All-round with slight power bias,
New Balance,NB English Willow Pro,SH,1170,8.0,mid,balanced,oval,standard,medium,Fast pick-up; control friendly,
New Balance,NB English Willow Power,SH,1200,6.9,low,power,oval,standard,high,Power profile; lower middle,
New Balance,NB English Willow Junior,Junior,1035,8.7,mid,balanced,oval,standard,medium,Junior; light pick-up,
